date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-06-01|09:15:50|Train Ticket|Amtrak|-65.50
2024-01-05|08:12:45|Laptop Purchase|BestBuy|-1200.00
2024-01-10|09:15:30|Office Supplies|Staples|-45.99
2024-02-15|14:35:25|Invoice 2001 paid|ClientX|2500.00
2024-02-20|10:05:12|Coffee|Starbucks|-4.95
2024-03-03|16:22:10|Project Bonus|Employer|500.00
2024-03-15|12:00:00|Groceries|Safeway|-123.45
2024-04-10|11:30:05|Flight Ticket|Alaska Airlines|-350.00
2024-04-18|09:45:20|Gift Purchase|Macy's|-60.00
2024-05-05|13:10:00|Dinner|Olive Garden|-45.00
2024-05-25|17:55:12|Salary|Employer|1200.00
2024-06-15|10:30:30|Electricity Bill|Puget Sound Energy|-100.00
2024-06-15|10:45:05|Freelance Payment|Upwork|200.00
2024-07-04|14:00:00|Tax Refund|IRS|800.00
2024-07-04|14:30:30|Independence Day Bonus|Employer|250.00
2024-07-20|12:45:55|Lunch Meeting|Chipotle|-12.50
2024-08-10|11:10:10|Groceries|Whole Foods|-200.00
2024-08-15|19:30:30|Concert Ticket|Ticketmaster|-120.00
2024-08-15|20:05:05|Dining Out|Cheesecake Factory|-90.00
2025-02-05|10:10:10|Parking Fee|City Parking|-25.00
2025-03-03|16:00:00|Side Project Payment|Freelance|600.00
2025-04-10|09:00:00|Office Chair|IKEA|-150.50
2025-04-10|13:25:15|Software Subscription|Adobe|-19.99
2025-04-15|07:50:30|Breakfast|McDonald's|-7.99
2025-04-15|08:30:10|Office D̩cor|Target|-80.00
2025-04-15|15:20:20|Invoice 3001 paid|Year Up|100.00
2025-04-18|11:40:40|Coffee|Dunkin'|-3.75
2025-05-01|08:20:40|Rent Payment|Landlord|-1500.00
2025-05-01|12:05:55|Invoice 3002 paid|ClientZ|2100.00
2025-05-01|18:25:30|Dinner|Red Robin|-55.00
2025-05-01|23:11:11|Office Chair|Costco|-67.39
2025-05-01|23:14:48|Office Desk|Costco|-126.47
2025-05-01|23:20:28|Gas|Chevron|-72.19
2025-05-01|23:21:38|Birthday Gift|CashApp|100.00
2025-05-01|23:22:52|Coaching Session|CashApp|120.0
